id,artist,event,venue,city,event_time,public_start,presale_start,presale_end,url
Z7r9jZ1A7Qo83,The Home Team,The Home Team w/ Arrows In Action,Showbox SODO,Seattle,2025-12-07T03:30:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7Qo83
Z7r9jZ1A7jJ-9,JOHNNYSWIM,Johnnyswim,The Barns at Wolf Trap,Vienna,2025-12-07T01:00:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7jJ-9
Z7r9jZ1A7qeuP,Little River Band,Little River Band,Spokane Live at Spokane Tribe Casino,Airway Heights,2025-12-07T04:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7qeuP
rZ7HnEZ1AKO8GV,grandson,grandson - INERTIA Tour - Presented By F7 Live,Midway,Edmonton,2025-12-07T02:00:00Z,2025-06-17T16:00:00Z,,,https://www.ticketweb.ca/event/grandson-inertia-tour-midway-tickets/13810334
rZ7HnEZ1AKPkrf,Tyler Hilton,"Tyler Hilton, Kate Voegele",Club SAW,Ottawa,2025-12-07T00:30:00Z,2025-08-13T14:00:00Z,,,https://www.ticketweb.ca/event/tyler-hilton-kate-voegele-club-saw-tickets/13946794
rZ7HnEZ1Af4b0N,,Electric Avenue 'The 80s MTV Experience',The Parlour at The Signal,Chattanooga,2025-12-07T01:00:00Z,2025-09-17T16:00:00Z,,,https://www.ticketweb.com/event/electric-avenue-the-80s-mtv-the-parlour-at-the-signal-tickets/14558923
rZ7HnEZ1Afb6PN,Jessie's Girl,Back To The Eighties Show with Jessie's Girl,S.O.B.'s,New York,2025-12-07T01:00:00Z,2025-10-09T16:00:00Z,,,https://www.ticketweb.com/event/back-to-the-eighties-show-sobs-tickets/14607963
Z7r9jZ1A7_duK,Jake Shimabukuro,Jake Shimabukuro,Belly Up Tavern,Solana Beach,2025-12-08T02:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_duK
Z7r9jZ1A7_duf,Jake Shimabukuro,Jake Shimabukuro,Belly Up Tavern,Solana Beach,2025-12-08T04:30:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_duf
Z7r9jZ1A7jZCp,The Home Team,The Home Team w/ Arrows In Action,Showbox SODO,Seattle,2025-12-08T03:30:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7jZCp
Z7r9jZ1A7qECv,Jens Lekman,Jens Lekman - Solo (18 and Over),Music Hall of Williamsburg,Brooklyn,2025-12-08T01:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7qECv
Z7r9jZ1A7_UFp,The Lettermen,A Timeless Christmas with The Lettermen,Arcada Theatre,Saint Charles,2025-12-11T01:30:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_UFp
Z7r9jZ1A7qxek,Jake Shimabukuro,Jake Shimabukuro's Holidays in Hawaii,Arlington Theatre,Santa Barbara,2025-12-11T03:30:00Z,1900-01-01T18:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7qxek
rZ7HnEZ1AK-V8V,Vincent Lima,Vincent Lima: To Love A Thing That Fades 2025 Tour,Neurolux Lounge,Boise,2025-12-11T02:30:00Z,2025-07-16T14:00:00Z,,,https://www.ticketweb.com/event/vincent-lima-to-love-a-neurolux-lounge-tickets/13874434
rZ7HnEZ1Af4M_S,,KiNG MALA: THE DEVOTION TOUR,Nikki Lopez Philly,Philadelphia,2025-12-12T00:00:00Z,2025-09-24T13:00:00Z,,,https://www.ticketweb.com/event/king-mala-the-devotion-tour-nikki-lopez-philly-tickets/14577673
Z7r9jZ1A7_0oz,Air Supply,Air Supply 50th Anniversary Tour!,Arlene Schnitzer Concert Hall,Portland,2025-12-13T04:30:00Z,2025-08-08T17:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7_0oz
rZ7HnEZ1AKOvZf,grandson,grandson - INERTIA Tour - Presented By F7 Live,The Phoenix Concert Theatre,Toronto,2025-12-13T00:00:00Z,2025-06-17T14:00:00Z,,,https://www.ticketweb.ca/event/grandson-inertia-tour-the-phoenix-concert-theatre-tickets/13801014
rZ7HnEZ1Afo6ZN,,80's with KNYGHT RYDER,Gaslamp Long Beach,Long Beach,2025-12-13T05:00:00Z,2025-05-07T01:00:00Z,,,https://www.ticketweb.com/event/80s-with-knyght-ryder-gaslamp-long-beach-tickets/14447023
Z7r9jZ1A7q9xZ,Cash Cash,Cash Cash (21 and Over),Zouk Nightclub - Las Vegas,Las Vegas,2025-12-14T06:00:00Z,1900-01-01T06:00:00Z,,,https://www.ticketmaster.com/event/Z7r9jZ1A7q9xZ
rZ7HnEZ1AKxZv7,,Hip 2B Square,The Park Theatre,Winnipeg,2025-12-14T02:00:00Z,2025-07-21T15:00:00Z,,,https://www.ticketweb.ca/event/hip-2b-square-the-park-theatre-tickets/13880044
rZ7HnEZ1Af464S,,Margaritaworld Holidays by the Sea: Jimmy Buffett and Alan Jackson Tribute,The Showroom at Wheeling Island,Wheeling,2025-12-14T01:00:00Z,2025-09-12T12:00:00Z,,,https://www.ticketweb.com/event/margaritaworld-holidays-by-the-sea-the-showroom-at-wheeling-island-tickets/14547573
