id,name,artist,event_local_date,event_local_time,venue,city,country,url
vv16vZkG_F3ZAG1ea6,Lissie with Special Guest Diana DeMuth,Lissie,2025-11-23,19:30:00,Jimmy's Jazz and Blues Club,Portsmouth,United States Of America,https://www.ticketmaster.com/lissie-with-special-guest-diana-demuth-portsmouth-new-hampshire-11-23-2025/event/01006319212B9186
vv17FZbSGknk2NfT,Tauren Wells,Tauren Wells,2025-11-23,19:30:00,The Pullo Center ,York,United States Of America,https://www.ticketmaster.com/tauren-wells-york-pennsylvania-11-23-2025/event/0200633A863E353F
vv17FZbYGkUXDwcr,Trans-Siberian Orchestra - The Ghosts Of Christmas Eve,Trans-Siberian Orchestra,2025-11-23,19:30:00,GIANT Center,Hershey,United States Of America,https://www.ticketmaster.com/transsiberian-orchestra-the-ghosts-of-christmas-hershey-pennsylvania-11-23-2025/event/0200630DBEEF2B5E
vv17OZbSGklOWf5T,Jonas Brothers: JONAS20 Greetings From Your Hometown,Jonas Brothers,2025-11-23,19:30:00,Little Caesars Arena,Detroit,United States Of America,https://www.ticketmaster.com/jonas-brothers-jonas20-greetings-from-your-detroit-michigan-11-23-2025/event/0800633AE0F542FF
vv17fZbYGkmy-ruI,Trey Anastasio Band,Trey Anastasio,2025-11-23,19:30:00,Akron Civic Theatre,Akron,United States Of America,https://www.ticketmaster.com/trey-anastasio-band-akron-ohio-11-23-2025/event/0500630BB985E368
vvG1OZbcCCQ-_O,Taylor Dayne,Taylor Dayne,2025-11-23,19:30:00,Sound Board at MotorCity Casino Hotel,Detroit,United States Of America,https://www.ticketmaster.com/taylor-dayne-detroit-michigan-11-23-2025/event/080062D38E6A1660
vvG1fZbiUb4-W3,Taylorville - A Tribute to Taylor Swift,Taylorville - A Tribute to Taylor Swift,2025-11-23,19:30:00,Clowes Memorial Hall,Indianapolis,United States Of America,https://www.ticketmaster.com/taylorville-a-tribute-to-taylor-swift-indianapolis-indiana-11-23-2025/event/050062CD98561F52
vvG1zZbRpLIsLh,Lecrae - Reconstruction World Tour,Lecrae,2025-11-23,19:30:00,Tabernacle,Atlanta,United States Of America,https://www.ticketmaster.com/lecrae-reconstruction-world-tour-atlanta-georgia-11-23-2025/event/0E0062F59FA317DB
1778vxG6Gp2GxuV,Silverstein: 25 Years Of Noise,Silverstein,2025-11-23,19:00:00,Burton Cummings Theatre,Winnipeg,Canada,https://www.ticketmaster.ca/silverstein-25-years-of-noise-winnipeg-manitoba-11-23-2025/event/110062C58F322374
17FZvxG62Xr-oiV,"Skillet, Jeremy Camp, We Are Messengers: The Awakening Tour",Skillet,2025-11-23,19:00:00,Von Braun Center Propst Arena,Huntsville,United States Of America,https://www.ticketmaster.com/skillet-jeremy-camp-we-are-messengers-huntsville-alabama-11-23-2025/event/200062FF9E851B34
17G8vxG6u2iK4eW,The Altons & Thee Sinseers: Club Heartache Tour,The Altons,2025-11-23,20:00:00,Le Studio TD,Montreal,Canada,https://www.ticketmaster.ca/the-altons-thee-sinseers-club-heartache-montreal-quebec-11-23-2025/event/310062D3EC4D50BD
1A8ZkueGkdAkICo,Sonu Nigam,Sonu Nigam,2025-11-23,20:00:00,TD Coliseum,Hamilton,Canada,https://www.ticketmaster.ca/sonu-nigam-hamilton-ontario-11-23-2025/event/10006342C51A8391
1ApZk1_GkemTfct,The Rock Orchestra By Candlelight,The Rock Orchestra By Candlelight,2025-11-23,20:00:00,Lyell B Clay Concert Theatre,Morgantown,United States Of America,https://www.ticketmaster.com/the-rock-orchestra-by-candlelight-morgantown-west-virginia-11-23-2025/event/16006299AEFD4B69
1AtZkGxGkdEI8O0,"George Canyon, Aaron Pritchett",George Canyon,2025-11-23,20:00:00,LONDON MUSIC HALL,London,Canada,https://www.ticketweb.ca/event/george-canyon-aaron-pritchett-london-music-hall-tickets/14532973?REFERRAL_ID=tmfeed
1asZka7rAb8Zeua,Nathalie Simard - Mon Noël,Nathalie Simard,2025-11-23,20:00:00,Théâtre Capitole,Quebec,Canada,https://www.ticketmaster.ca/nathalie-simard-mon-noel-quebec-quebec-11-23-2025/event/31006244785610C8
1k18vNGOGA2rZyo,Sunday Jamz W/ DJ Scratch,,2025-11-23,17:00:00,Copper Blues Oxnard Resturant,Oxnard,United States Of America,https://www.ticketweb.com/event/sunday-jamz-w-dj-scratch-copper-blues-oxnard-restaurant-tickets/14571273?REFERRAL_ID=tmfeed
G5dIZbJUOLw61,Infinity Song World Tour II,Infinity Song,2025-11-23,19:00:00,White Oak Music Hall - Upstairs ,Houston,United States Of America,https://www.ticketmaster.com/infinity-song-world-tour-ii-houston-texas-11-23-2025/event/3A00626DA07F21CA
G5dIZbYXDEfhy,Lil Tony - TKey Vs Tony Tour,,2025-11-23,19:00:00,The Bronze Peacock at House of Blues Houston,Houston,United States Of America,https://www.ticketmaster.com/lil-tony-tkey-vs-tony-tour-houston-texas-11-23-2025/event/3A00630FBB9D46F9
G5dIZbcNDZPiZ,The Faint,The Faint,2025-11-23,19:00:00,Emo's Austin,Austin,United States Of America,https://www.ticketmaster.com/the-faint-austin-texas-11-23-2025/event/3A0062D8FB025B00
G5dIZbsJrFvTl,112 - Room 112 Tour,112,2025-11-23,19:00:00,Smart Financial Centre at Sugar Land,Sugar Land,United States Of America,https://smartfinancialcentre.net/events/112/calendar/
G5dIZbw2xkUYA,Playboi Carti: Antagonist Tour,Playboi Carti,2025-11-23,19:00:00,Moody Center ATX,Austin,United States Of America,https://www.ticketmaster.com/playboi-carti-antagonist-tour-austin-texas-11-23-2025/event/3A006323E21B6C05
G5eVZbl8NPyJg,Los Lonely Boys,Los Lonely Boys,2025-11-23,20:00:00,The Riviera Theater,Charleston,United States Of America,https://www.ticketmaster.com/los-lonely-boys-charleston-south-carolina-11-23-2025/event/2D0062B4239799B5
G5ezZbYDSufOV,Bob Marley Hope Road The Show,Bob Marley Hope Road The Show,2025-11-23,17:00:00,Bob Marley Hope Road,Las Vegas,United States Of America,https://www.ticketmaster.com/bob-marley-hope-road-the-show-las-vegas-nevada-11-23-2025/event/2E00630EF3354834
G5viZbYV1kgW2,OsamaSon - Psykotic Tour,OsamaSon,2025-11-23,19:00:00,Fillmore New Orleans,New Orleans,United States Of America,https://www.ticketmaster.com/osamason-psykotic-tour-new-orleans-louisiana-11-23-2025/event/1B00630D0A1B5F4F
G5viZbsSVA1Z2,EARL SWEATSHIRT - 3L World Tour,Earl Sweatshirt,2025-11-23,19:00:00,House of Blues New Orleans ,New Orleans,United States Of America,https://www.ticketmaster.com/earl-sweatshirt-3l-world-tour-new-orleans-louisiana-11-23-2025/event/1B00631CF414A00F
Z7r9jZ1A7QA8w,112 - Room 112 Tour,112,2025-11-23,19:00:00,Smart Financial Centre at Sugar Land,Sugar Land,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7QA8w
Z7r9jZ1A7QaAE,Better Lovers,Better Lovers,2025-11-23,19:00:00,Beer City Music Hall,Oklahoma City,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7QaAE
Z7r9jZ1A7QoaM,Fito Paez,Fito Páez,2025-11-23,20:00:00,Kings Theatre,Brooklyn,United States Of America,https://www.ticketmaster.com/event/Z7r9jZ1A7QoaM
